MTS***|MPT|**|*|*|*|*|*|*|*|*|*

Adquisición cíclica						Tiempo	20,061279	Sec	13/12/2021 10:22:42
Parado en: 	100	cycle			Parado para: 	1	cycles			Relativo a: 	1	cycle
Puntos: 	51
Tiempo	Channel 1 Displacement	Channel 1 Force	Channel 1 Recuento
Sec	mm	kgf	cycles
10,016357	-0,095496617	-4,1995568	99
10,018311	-0,098565474	-3,8998926	99
10,020264	-0,097288698	-4,3106871	99
10,022217	-0,096935071	-4,4058757	99
10,02417	-0,09719763	-5,3903465	99
10,026123	-0,10066263	-6,8077998	99
10,028076	-0,10149369	-8,5715923	99
10,030029	-0,10272893	-10,729068	99
10,031982	-0,10745408	-13,365742	99
10,033936	-0,10878918	-16,639605	99
10,035889	-0,11092977	-19,745285	99
10,037842	-0,11068706	-23,347223	99
10,039795	-0,11699208	-26,740891	99
10,041748	-0,1185222	-29,723345	99
10,043701	-0,11849581	-33,857346	99
10,045654	-0,12286186	-37,158554	99
10,047607	-0,12757048	-40,843231	99
10,049561	-0,12892422	-44,044537	99
10,051514	-0,13182788	-47,539993	99
10,053467	-0,13290001	-51,050068	99
10,05542	-0,13578463	-54,035114	99
10,057373	-0,13768108	-56,247284	99
10,059326	-0,1400719	-58,401356	99
10,061279	-0,14068522	-59,082085	99
10,063232	-0,13896666	-59,731354	99
10,065186	-0,13982101	-58,987728	99
10,067139	-0,14045684	-58,318745	99,5
10,069092	-0,14315216	-56,563416	99,5
10,071045	-0,14041631	-55,150764	99,5
10,072998	-0,13756137	-53,305698	99,5
10,074951	-0,13855921	-50,835915	99,5
10,076904	-0,13903174	-48,442188	99,5
10,078857	-0,13601036	-45,728271	99,5
10,080811	-0,13287258	-42,979256	99,5
10,082764	-0,13147977	-39,706852	99,5
10,084717	-0,12910859	-36,820152	99,5
10,08667	-0,12873164	-33,709003	99,5
10,088623	-0,12704721	-30,320854	99,5
10,090576	-0,12391824	-27,220903	99,5
10,092529	-0,12267154	-24,351147	99,5
10,094482	-0,11966182	-21,621206	99,5
10,096436	-0,12038422	-18,982235	99,5
10,098389	-0,11655638	-16,323792	99,5
10,100342	-0,11122344	-13,787066	99,5
10,102295	-0,10978826	-11,912356	99,5
10,104248	-0,10889049	-9,7790499	99,5
10,106201	-0,10840568	-7,9733663	99,5
10,108154	-0,10353293	-6,8218188	99,5
10,110107	-0,10458399	-5,9159689	99,5
10,112061	-0,10053083	-4,9141359	99,5
10,114014	-0,095166318	-4,2503896	99,5

Adquisición cíclica						Tiempo	30,074463	Sec	13/12/2021 10:22:52
Parado en: 	200	cycle			Parado para: 	1	cycles			Relativo a: 	1	cycle
Puntos: 	51
Tiempo	Channel 1 Displacement	Channel 1 Force	Channel 1 Recuento
Sec	mm	kgf	cycles
20,016357	-0,1488128	-4,0827904	199
20,018311	-0,15038508	-4,3194203	199
20,020264	-0,15008651	-4,0980005	199
20,022217	-0,15009306	-4,6756887	199
20,02417	-0,15077944	-5,8782358	199
20,026123	-0,15327421	-7,5790987	199
20,028076	-0,15241578	-9,2943983	199
20,030029	-0,15688594	-11,214094	199
20,031982	-0,15885688	-14,04453	199
20,033936	-0,16150433	-17,487164	199
20,035889	-0,16356878	-20,806053	199
20,037842	-0,16387412	-24,285089	199
20,039795	-0,1688672	-27,591228	199
20,041748	-0,16923822	-30,912394	199
20,043701	-0,17194521	-34,478443	199
20,045654	-0,17420976	-38,203445	199
20,047607	-0,17863174	-41,689186	199
20,049561	-0,17991398	-45,345676	199
20,051514	-0,18428986	-48,462139	199
20,053467	-0,18448427	-51,332317	199
20,05542	-0,19024293	-54,415508	199
20,057373	-0,18772089	-56,761539	199
20,059326	-0,19238271	-58,759083	199
20,061279	-0,19432801	-59,48745	199
20,063232	-0,19075926	-59,679222	199
20,065186	-0,19252984	-59,013283	199
20,067139	-0,19373761	-58,495129	199,5
20,069092	-0,1939445	-57,585091	199,5
20,071045	-0,19133963	-55,776821	199,5
20,072998	-0,18914154	-53,902	199,5
20,074951	-0,19123404	-51,48468	199,5
20,076904	-0,18997505	-48,807159	199,5
20,078857	-0,18987437	-46,349369	199,5
20,080811	-0,1854856	-43,449284	199,5
20,082764	-0,18279642	-40,437035	199,5
20,084717	-0,1811609	-37,245594	199,5
20,08667	-0,18054327	-33,860226	199,5
20,088623	-0,17833684	-31,317923	199,5
20,090576	-0,17464054	-27,764305	199,5
20,092529	-0,17383833	-24,834209	199,5
20,094482	-0,17114955	-22,544571	199,5
20,096436	-0,16869999	-19,788492	199,5
20,098389	-0,16718645	-17,089621	199,5
20,100342	-0,16399281	-14,475842	199,5
20,102295	-0,15871465	-12,490917	199,5
20,104248	-0,15910675	-10,49108	199,5
20,106201	-0,15837105	-8,68009	199,5
20,108154	-0,15718453	-6,8553944	199,5
20,110107	-0,15269594	-6,150723	199,5
20,112061	-0,15111914	-4,8213081	199,5
20,114014	-0,15330082	-4,615684	199,5

Adquisición cíclica						Tiempo	40,150635	Sec	13/12/2021 10:23:02
Parado en: 	300	cycle			Parado para: 	1	cycles			Relativo a: 	1	cycle
Puntos: 	51
Tiempo	Channel 1 Displacement	Channel 1 Force	Channel 1 Recuento
Sec	mm	kgf	cycles
30,016357	-0,19224805	-4,3856511	299
30,018311	-0,19201742	-4,3323112	299
30,020264	-0,19220835	-4,6339445	299
30,022217	-0,19231783	-5,2737422	299
30,02417	-0,19243489	-6,2447786	299
30,026123	-0,19192962	-7,8150649	299
30,028076	-0,19647883	-9,9798527	299
30,030029	-0,19964054	-12,218476	299
30,031982	-0,20063344	-15,353298	299
30,033936	-0,20123161	-18,126465	299
30,035889	-0,20325965	-21,490652	299
30,037842	-0,20818295	-24,527798	299
30,039795	-0,21084717	-27,913671	299
30,041748	-0,2129153	-31,08963	299
30,043701	-0,21623297	-34,700409	299
30,045654	-0,21824402	-38,214813	299
30,047607	-0,21875522	-41,390522	299
30,049561	-0,22227485	-44,783371	299
30,051514	-0,22403045	-48,453323	299
30,053467	-0,22779547	-51,841866	299
30,05542	-0,22749259	-54,390915	299
30,057373	-0,23197001	-56,911217	299
30,059326	-0,23161536	-59,183144	299
30,061279	-0,23414207	-60,033272	299
30,063232	-0,23437925	-60,814686	299
30,065186	-0,23556046	-60,360535	299
30,067139	-0,23554532	-59,445705	299,5
30,069092	-0,23275176	-57,845459	299,5
30,071045	-0,2337025	-56,429077	299,5
30,072998	-0,23155519	-54,25478	299,5
30,074951	-0,23297605	-52,183357	299,5
30,076904	-0,22849719	-49,642395	299,5
30,078857	-0,22966918	-46,852867	299,5
30,080811	-0,22939108	-43,716667	299,5
30,082764	-0,2270133	-40,907898	299,5
30,084717	-0,2217485	-38,189617	299,5
30,08667	-0,22231312	-34,579231	299,5
30,088623	-0,2190413	-31,738644	299,5
30,090576	-0,21766384	-29,0788	299,5
30,092529	-0,21557032	-25,585814	299,5
30,094482	-0,21369496	-23,387569	299,5
30,096436	-0,21129288	-20,106146	299,5
30,098389	-0,20889409	-17,984936	299,5
30,100342	-0,20765558	-15,345067	299,5
30,102295	-0,20233403	-12,980233	299,5
30,104248	-0,20263548	-10,855805	299,5
30,106201	-0,20237762	-9,1411114	299,5
30,108154	-0,19846547	-7,7915602	299,5
30,110107	-0,195878	-6,532784	299,5
30,112061	-0,19528534	-5,5011578	299,5
30,114014	-0,19534612	-4,9731588	299,5

Adquisición cíclica						Tiempo	40,1521	Sec	13/12/2021 10:23:02
Parado en: 	400	cycle			Parado para: 	1	cycles			Relativo a: 	1	cycle
Puntos: 	51
Tiempo	Channel 1 Displacement	Channel 1 Force	Channel 1 Recuento
Sec	mm	kgf	cycles
40,016357	-0,23084243	-4,6910453	399
40,018311	-0,22914571	-5,0593219	399
40,020264	-0,23165035	-4,7015963	399
40,022217	-0,23133725	-5,3518195	399
40,02417	-0,23212656	-6,3685493	399
40,026123	-0,23431192	-7,9296374	399
40,028076	-0,23593885	-9,8802977	399
40,030029	-0,2365403	-12,036937	399
40,031982	-0,23917486	-14,99764	399
40,033936	-0,23912062	-18,159309	399
40,035889	-0,24396309	-21,434511	399
40,037842	-0,24699771	-24,399471	399
40,039795	-0,24709001	-27,836931	399
40,041748	-0,24830335	-31,438248	399
40,043701	-0,25454819	-34,860199	399
40,045654	-0,25743082	-38,325901	399
40,047607	-0,259253	-41,801189	399
40,049561	-0,26173508	-45,177078	399
40,051514	-0,2637099	-49,097946	399
40,053467	-0,26451513	-52,013081	399
40,05542	-0,26759928	-55,187412	399
40,057373	-0,26988229	-57,911903	399
40,059326	-0,26985714	-59,563332	399
40,061279	-0,27401137	-60,822002	399
40,063232	-0,27316564	-60,444233	399
40,065186	-0,27327552	-60,078297	399
40,067139	-0,2705515	-59,246384	399,5
40,069092	-0,27457887	-57,633732	399,5
40,071045	-0,26951414	-56,060799	399,5
40,072998	-0,27180535	-54,109467	399,5
40,074951	-0,27009901	-51,643764	399,5
40,076904	-0,26894012	-49,259827	399,5
40,078857	-0,2678113	-46,79044	399,5
