MTS***|MPT|***|*|*|*|*|*|*|*|*|*

Cyclic Acquisition						Time:	20,048504	Sec	14/12/2021 9:40:47
Stored at: 	100	cycle			Stored for: 	2	segments			Relative to: 	1	cycle
Points: 	51
Time	Axial Desplazamiento	Axial Fuerza	Axial Count
Sec	mm	kgf	segments
10,002768	-0,15401678	-8,9147396	198
10,004721	-0,15227564	-7,8628569	198
10,006674	-0,14961897	-6,7155299	198
10,008627	-0,14903492	-6,2497926	198
10,01058	-0,14912319	-6,1947341	198
10,012533	-0,14795853	-6,5581484	198
10,014486	-0,1504501	-7,573729	198
10,016439	-0,15171371	-8,8965778	198
10,018393	-0,15452175	-11,130302	198
10,020346	-0,15892282	-14,005147	198
10,022299	-0,16269349	-17,397654	198
10,024252	-0,16711332	-21,442362	198
10,026205	-0,17163679	-26,271225	198
10,028158	-0,17712693	-32,271942	198
10,030111	-0,18208514	-40,038628	198
10,032064	-0,18820566	-47,632267	198
10,034018	-0,19054331	-53,997307	198
10,035971	-0,19354557	-58,663006	198
10,037924	-0,19617873	-61,790993	198
10,039877	-0,19810623	-64,809036	198
10,04183	-0,20014514	-67,587463	198
10,043783	-0,20112708	-70,79644	198
10,045736	-0,20423211	-74,120575	198
10,047689	-0,20429546	-76,866699	198
10,049643	-0,20783578	-78,966362	198
10,051596	-0,20886807	-80,461494	198
10,053549	-0,20966846	-81,401421	199
10,055502	-0,20952359	-81,402779	199
10,057455	-0,20924032	-80,119705	199
10,059408	-0,2093268	-78,833405	199
10,061361	-0,20825696	-77,429108	199
10,063314	-0,20851789	-75,124329	199
10,065268	-0,20737556	-72,383217	199
10,067221	-0,20526585	-69,570343	199
10,069174	-0,2050847	-66,325142	199
10,071127	-0,20303251	-62,598312	199
10,07308	-0,20020583	-58,680305	199
10,075033	-0,19882034	-54,286781	199
10,076986	-0,19611375	-49,680584	199
10,078939	-0,19340272	-45,556423	199
10,080893	-0,1910871	-41,496334	199
10,082846	-0,18861075	-37,617798	199
10,084799	-0,18660428	-33,812298	199
10,086752	-0,18273599	-30,377102	199
10,088705	-0,17950076	-27,043039	199
10,090658	-0,17608902	-23,570969	199
10,092611	-0,1723206	-20,737812	199
10,094564	-0,16872415	-17,763824	199
10,096518	-0,16467206	-15,314394	199
10,098471	-0,16355869	-12,917933	199
10,100424	-0,15791039	-10,811334	199

Cyclic Acquisition						Time:	30,089682	Sec	14/12/2021 9:40:57
Stored at: 	200	cycle			Stored for: 	2	segments			Relative to: 	1	cycle
Points: 	51
Time	Axial Desplazamiento	Axial Fuerza	Axial Count
Sec	mm	kgf	segments
20,002768	-0,19998474	-8,2331505	398
20,004721	-0,19869794	-7,125771	398
20,006674	-0,19665407	-6,4971714	398
20,008627	-0,19577041	-6,2087326	398
20,01058	-0,19617832	-5,9124322	398
20,012533	-0,19577961	-6,4974852	398
20,014486	-0,19639879	-7,847187	398
20,016439	-0,19957764	-9,3422165	398
20,018393	-0,2007439	-11,475476	398
20,020346	-0,20373859	-14,253361	398
20,022299	-0,20980459	-18,235495	398
20,024252	-0,21368167	-22,403475	398
20,026205	-0,21886592	-27,483141	398
20,028158	-0,22275625	-34,264408	398
20,030111	-0,22776489	-41,578659	398
20,032064	-0,23102419	-48,234055	398
20,034018	-0,23491949	-54,317421	398
20,035971	-0,237446	-58,735161	398
20,037924	-0,23848331	-62,108044	398
20,039877	-0,24130262	-64,807884	398
20,04183	-0,24247997	-67,796692	398
20,043783	-0,24344718	-71,33815	398
20,045736	-0,2465279	-74,341805	398
20,047689	-0,2474941	-76,984215	398
20,049643	-0,24939182	-78,947929	398
20,051596	-0,24972044	-80,237282	398
20,053549	-0,24997422	-80,825348	399
20,055502	-0,250723	-80,342514	399
20,057455	-0,2505511	-79,714249	399
20,059408	-0,25091162	-78,534767	399
20,061361	-0,25064903	-76,68882	399
20,063314	-0,24837632	-74,3946	399
20,065268	-0,24984244	-71,906471	399
20,067221	-0,24613394	-68,934563	399
20,069174	-0,24583413	-65,220276	399
20,071127	-0,24324489	-61,588749	399
20,07308	-0,24141629	-57,395382	399
20,075033	-0,24057229	-53,172825	399
20,076986	-0,23832168	-48,1889	399
20,078939	-0,23709878	-43,738873	399
20,080893	-0,23361261	-40,019669	399
20,082846	-0,23067294	-36,52599	399
20,084799	-0,22745547	-32,799095	399
20,086752	-0,22577956	-29,212408	399
20,088705	-0,22192287	-25,514345	399
20,090658	-0,21916628	-22,197233	399
20,092611	-0,21657133	-19,205399	399
20,094564	-0,21412471	-16,615887	399
20,096518	-0,21135873	-14,045538	399
20,098471	-0,20625958	-11,70867	399
20,100424	-0,20368218	-9,811595	399

Cyclic Acquisition						Time:	40,137371	Sec	14/12/2021 9:41:07
Stored at: 	300	cycle			Stored for: 	2	segments			Relative to: 	1	cycle
Points: 	51
Time	Axial Desplazamiento	Axial Fuerza	Axial Count
Sec	mm	kgf	segments
30,002768	-0,23314708	-7,6953993	598
30,004721	-0,23082393	-6,3845267	598
30,006674	-0,22755769	-5,6491694	598
30,008627	-0,22874917	-5,0736489	598
30,01058	-0,22843577	-5,4330931	598
30,012533	-0,22794062	-5,8159375	598
30,014486	-0,22906931	-6,9358315	598
30,016439	-0,23183857	-8,332674	598
30,018393	-0,23456778	-10,772049	598
30,020346	-0,23690753	-13,572754	598
30,022299	-0,24027124	-17,509024	598
30,024252	-0,2447038	-21,813929	598
30,026205	-0,25059387	-27,744087	598
30,028158	-0,25430828	-34,580517	598
30,030111	-0,25912163	-41,823723	598
30,032064	-0,26238114	-48,246094	598
30,034018	-0,2653304	-54,045589	598
30,035971	-0,26801506	-57,8713	598
30,037924	-0,26943311	-61,131763	598
30,039877	-0,27103305	-63,880501	598
30,04183	-0,27256066	-66,962997	598
30,043783	-0,27391675	-70,4543	598
30,045736	-0,27596158	-73,704132	598
30,047689	-0,27758601	-76,594894	598
30,049643	-0,27749568	-78,345619	598
